test,seed,clipped,chroma,brightness,sigma,sigma_y,sigma_c,ratio,detail,step,variant,unsupported,selected,strength,passed,black_fraction,clean_error,bias,relative_loss,noise_ratio,y_relative_loss,y_noise_ratio,c_relative_loss,c_noise_ratio
separate,24533,False,False,0.4200001358985901,0.023999575525522232,,,,0.0,1.0,0,,99,,True,0.0,0.0,0.0,0.028791746724854184,0.14899810811066408,,,,
separate,24533,False,False,0.41703248023986816,0.023999718949198723,,,,0.0,1.0,1,,99,,True,0.0,0.0,0.0,0.03254211216742508,0.1558887749298321,,,,
separate,24533,False,False,0.417032927274704,0.024000011384487152,,,,0.0,1.0,2,,99,,True,0.0,0.0,0.0,0.047406196554863014,0.18380106466477578,,,,
separate,24533,False,False,0.4200001358985901,0.023999575525522232,,,,25.0,1.0,0,,99,,True,0.0,0.0,0.0,0.03859343624126058,0.18305570633562449,,,,
separate,24533,False,False,0.41703248023986816,0.023999718949198723,,,,25.0,1.0,1,,99,,True,0.0,0.0,0.0,0.04109821823213488,0.18676937879234318,,,,
separate,24533,False,False,0.417032927274704,0.024000011384487152,,,,25.0,1.0,2,,99,,True,0.0,0.0,0.0,0.04948204290732947,0.1933117774695146,,,,
separate,24533,False,False,0.4200001358985901,0.023999575525522232,,,,50.0,1.0,0,,100,,True,0.0,0.0,0.0,0.057905038006428856,0.22740917759785367,,,,
separate,24533,False,False,0.41703248023986816,0.023999718949198723,,,,50.0,1.0,1,,100,,True,0.0,0.0,0.0,0.057802278592982086,0.2273307743525281,,,,
separate,24533,False,False,0.417032927274704,0.024000011384487152,,,,50.0,1.0,2,,100,,True,0.0,0.0,0.0,0.061430971494512154,0.221436467448022,,,,
separate,24533,False,False,0.4200001358985901,0.023999575525522232,,,,75.0,1.0,0,,100,,True,0.0,0.0,0.0,0.12601171928568658,0.3483492247223053,,,,
separate,24533,False,False,0.41703248023986816,0.023999718949198723,,,,75.0,1.0,1,,100,,True,0.0,0.0,0.0,0.11982201457759345,0.3411095053191077,,,,
separate,24533,False,False,0.417032927274704,0.024000011384487152,,,,75.0,1.0,2,,100,,True,0.0,0.0,0.0,0.11691693166552888,0.32711037490464695,,,,
