chroma,brightness,sigma,detail,step,selected,unsupported_reason,baseline_loss,best_loss,selected_loss,max_noise_ratio,max_clean_error,max_bias,feasible_candidates
True,0.250980406999588,0.0010000000474974513,50.0,3.0,39,,0.9999610281486606,0.5101663629213578,0.5356391534058067,0.6398315952561446,0.0,0.22842113494873048,33
True,0.250980406999588,0.0020000000949949026,50.0,3.0,66,,0.9999902988569058,0.2597865187903183,0.27097270710947086,0.375869858927221,7.62939453125e-06,0.40105697631835935,33
True,0.250980406999588,0.004000000189989805,50.0,3.0,89,,0.999997629965165,0.09421016757596828,0.09889803239652085,0.18999669852408177,0.0,0.0,33
True,0.250980406999588,0.00800000037997961,50.0,3.0,100,,0.9999994587634521,0.040436621666981504,0.040436621666981504,0.11470450367076157,0.0,0.0,25
True,0.250980406999588,0.012000000104308128,50.0,3.0,100,,0.9999997739807376,0.03425168516252152,0.03425168516252152,0.1141994717696035,0.0,0.0,25
True,0.250980406999588,0.01600000075995922,50.0,3.0,100,,0.9999998715156789,0.040172748542037645,0.040172748542037645,0.13456621349603065,0.0,0.0,25
True,0.250980406999588,0.03200000151991844,50.0,3.0,100,,0.9999999567159007,0.1292131206660871,0.1292131206660871,0.34654248532958726,0.0,0.0,25
True,0.250980406999588,0.06400000303983688,50.0,3.0,100,,0.9999999822275806,0.369163060014879,0.369163060014879,0.6413117859443818,0.0,0.0,25
True,0.250980406999588,0.09600000083446503,50.0,3.0,100,,0.9999999889344671,0.5659415977426375,0.5659415977426375,0.8094530159184536,0.0,0.0,25
True,0.250980406999588,0.12800000607967377,50.0,3.0,100,,0.9999999917633472,0.7085158686252382,0.7085158686252382,0.8913299494058043,0.0,0.0,25
True,0.250980406999588,0.0010000000474974513,50.0,4.0,50,,0.9999610281486606,0.5629137006500917,0.5629137006500917,0.5243100854965072,7.62939453125e-06,0.20562679290771485,29
True,0.250980406999588,0.0020000000949949026,50.0,4.0,68,,0.9999902988569058,0.25146386671928533,0.2626078256233293,0.3558271688274067,7.62939453125e-06,0.31872278213500976,33
True,0.250980406999588,0.004000000189989805,50.0,4.0,100,,0.999997629965165,0.08585723483062635,0.08585723483062635,0.1182236674598176,0.0,0.0,25
True,0.250980406999588,0.00800000037997961,50.0,4.0,100,,0.9999994587634521,0.041684116370745324,0.041684116370745324,0.11356859661672944,0.0,0.0,25
True,0.250980406999588,0.012000000104308128,50.0,4.0,100,,0.9999997739807376,0.0366477738474016,0.0366477738474016,0.12440388635491947,0.0,0.0,25
True,0.250980406999588,0.01600000075995922,50.0,4.0,100,,0.9999998715156789,0.0447542323146823,0.0447542323146823,0.1425611406155537,0.0,0.0,25
True,0.250980406999588,0.03200000151991844,50.0,4.0,100,,0.9999999567159007,0.13516345863913046,0.13516345863913046,0.36008506989884304,0.0,0.0,25
True,0.250980406999588,0.06400000303983688,50.0,4.0,100,,0.9999999822275806,0.36923220607974466,0.36923220607974466,0.6367299674967316,0.0,0.0,25
True,0.250980406999588,0.09600000083446503,50.0,4.0,100,,0.9999999889344671,0.5620896440818615,0.5620896440818615,0.7923129547687771,0.0,0.0,25
True,0.250980406999588,0.12800000607967377,50.0,4.0,100,,0.9999999917633472,0.7045462894874663,0.7045462894874663,0.8799501735398605,0.0,0.0,25
True,0.250980406999588,0.0010000000474974513,50.0,5.0,50,,0.9999610281486606,0.5362553864893755,0.5362553864893755,0.5225249387974173,7.62939453125e-06,0.18595146179199218,29
